rollout/ep_len_mean,time/total_timesteps,custom/reward_speed,custom/status_collision_mean,custom/status_speed_avg,time/time_elapsed,time/fps,custom/status_overtake_max,time/iterations,rollout/ep_rew_mean,train/clip_range,train/value_loss,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/std,train/policy_gradient_loss,train/loss,train/clip_fraction
226.53,5029888,0.6684873908984348,0.0,40.10924345390609,23,698,0,1,430.78078249,,,,,,,,,,,
262.82,5046272,0.6427006094656855,0.0,38.56203656794112,49,668,0,2,475.50339423000014,0.2,93.44681094884872,0.0005,0.7881035804748535,3070,-5.663914307951927,0.0042561786,14.945599555969238,-0.0018564239569968776,46.21165466308594,0.063140869140625
248.21,5062656,0.6544210892510012,0.0,39.265265355060066,72,675,0,3,451.00252744,0.2,94.39522387981415,0.0005,0.7681317329406738,3080,-5.677713929116726,0.008886391,15.294468879699707,-0.002226016253553098,40.91272735595703,0.074908447265625
270.47,5079040,0.6358154312247783,0.0,38.1489258734867,97,670,0,4,490.5619637600001,0.2,95.82467898130417,0.0005,0.7627288103103638,3090,-5.698632396757603,0.0073851934,15.457501411437988,-0.0025073589422390796,45.090431213378906,0.07967529296875
280.48,5095424,0.6288239342500102,0.0,37.729436055000605,122,669,0,5,491.8888843800001,0.2,86.67509478330612,0.0005,0.7786047458648682,3100,-5.71675339192152,0.0056713433,15.73256778717041,-0.0010473420919879573,47.25885772705078,0.09010009765625
278.86,5111808,0.582566049629654,0.0,34.953962977779234,144,679,0,6,480.55306561,0.2,90.06178750991822,0.0005,0.7873978018760681,3110,-5.741222228109836,0.006617017,16.138837814331055,-0.002438755123876035,47.32618713378906,0.062347412109375
290.04,5128192,0.6368810466753171,0.0,38.212862800519034,168,680,0,7,500.04266966999995,0.2,65.12908967733384,0.0005,0.8294125199317932,3120,-5.7593504130840305,0.0085725095,16.3343448638916,-0.003808771743206307,22.272485733032227,0.07900390625
273.27,5144576,0.6131823102211764,0.0,36.79093861327058,191,685,0,8,485.98273248000004,0.2,84.93514913320541,0.0005,0.805376410484314,3130,-5.766991825401783,0.0053282464,16.52857780456543,-0.0033731187788362147,35.516014099121094,0.067230224609375
282.16,5160960,0.6249448750464934,0.0,37.496692502789614,214,688,0,9,492.12238827,0.2,71.42216193675995,0.0005,0.8104252219200134,3140,-5.7806212335824965,0.006707865,16.7773494720459,-0.002957505688027595,32.228248596191406,0.082000732421875
244.63,5177344,0.6659176335226167,0.0,39.955058011357,236,691,0,10,450.79478029999996,0.2,93.74625440835953,0.0005,0.7800595164299011,3150,-5.79853872358799,0.0055310824,16.830528259277344,-0.003308197975275107,44.620361328125,0.053009033203125
243.39,5193728,0.6504685222999497,0.0,39.02811133799698,259,694,0,11,455.59449893,0.2,94.110828602314,0.0005,0.7920636534690857,3160,-5.798076692223549,0.0055205785,16.725963592529297,-0.004738280235324055,39.8223762512207,0.067724609375
241.06,5210112,0.6370610714781604,0.0,38.223664288689626,282,695,0,12,437.0537938499999,0.2,94.74175115823746,0.0005,0.7781439423561096,3170,-5.803701484203339,0.006828892,16.932403564453125,-0.0029546588164521383,42.72473907470703,0.067822265625
266.48,5226496,0.6323190608982744,0.0,37.93914365389645,306,696,0,13,479.30573183,0.2,94.68058795928955,0.0005,0.7933377623558044,3180,-5.829271894693375,0.0062938556,17.355606079101562,-0.0013065095801721327,46.389793395996094,0.0767333984375
274.15,5242880,0.6193321013114214,0.0,37.15992607868529,328,699,0,14,484.06459320999994,0.2,78.06726845502854,0.0005,0.8008720874786377,3190,-5.852909010648728,0.008592321,17.647090911865234,-0.0027664988625474506,41.34239959716797,0.072119140625
277.92,5259264,0.59701966751272,0.0,35.82118005076319,352,697,0,15,480.35008252000006,0.2,78.38270283937455,0.0005,0.8137096166610718,3200,-5.8570073083043095,0.008886322,17.759111404418945,-0.003232481533632381,32.060302734375,0.068231201171875
289.08,5275648,0.6336264052747727,0.0,38.017584316486364,381,686,0,16,498.05899502,0.2,65.5510904788971,0.0005,0.8232814073562622,3210,-5.85502841770649,0.006324765,17.946441650390625,-0.0031549762970826123,30.359920501708984,0.074615478515625
263.15,5292032,0.6387063957379978,0.0,38.322383744279875,410,679,0,17,474.54838021999996,0.2,70.75912669897079,0.0005,0.8182862997055054,3220,-5.880336514115333,0.0052554305,18.463973999023438,-0.002736285620267154,27.76378631591797,0.059954833984375
278.07,5308416,0.599107940569015,0.0,35.9464764341409,440,669,0,18,488.18922562999995,0.2,76.59967082738876,0.0005,0.804421603679657,3230,-5.910065458714962,0.008486634,18.923751831054688,-0.0017696058417641324,31.55597686767578,0.072900390625
273.94,5324800,0.5929360112043776,0.0,35.576160672262645,467,665,0,19,470.48187538999997,0.2,80.84815582036973,0.0005,0.80839604139328,3240,-5.923914138972759,0.0053707566,19.06763458251953,-0.002249435863632243,37.94264602661133,0.076629638671875
274.54,5341184,0.6083629508978375,0.0,36.501777053870256,496,659,0,20,463.2207047199999,0.2,76.17629874944687,0.0005,0.804879903793335,3250,-5.9329493507742885,0.0078142155,19.300058364868164,-0.00488824972853763,37.30603790283203,0.063922119140625
252.11,5357568,0.6210010180271432,0.0,37.26006108162859,524,655,0,21,440.59839599,0.2,77.4593632698059,0.0005,0.8141703605651855,3260,-5.940052242577076,0.0074240305,19.529531478881836,-0.003375996479007881,41.98878479003906,0.071710205078125
253.81,5373952,0.633256215023378,0.0,37.995372901402675,553,651,0,22,443.13038382999997,0.2,78.07018131017685,0.0005,0.8167166113853455,3270,-5.955302108824253,0.0042513516,19.615034103393555,-0.0004715403338195756,41.33903884887695,0.0849853515625
275.47,5390336,0.5977062459942701,0.0,35.862374759656205,583,645,0,23,475.93781613,0.2,79.19641124010086,0.0005,0.8161276578903198,3280,-5.974662750959396,0.011877416,20.00520133972168,-0.0022985759664152284,35.766902923583984,0.065447998046875
