rollout/ep_len_mean,custom/status_speed_avg,time/total_timesteps,time/iterations,custom/status_overtake_max,time/time_elapsed,custom/status_collision_mean,rollout/ep_rew_mean,time/fps,custom/reward_speed,train/clip_range,train/std,train/approx_kl,train/n_updates,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/explained_variance,train/loss
35.16,12.906801888148085,16384,1,0,45,0.0,19.22142101,362,0.21511336480246812,,,,,,,,,,,
36.58,13.15380270184843,32768,2,0,92,0.0,21.328917039999997,355,0.21923004503080717,0.2,1.003519058227539,0.0068571167,10,0.069879150390625,-2.8401480823755265,-0.006414837160264142,0.0005,13.138570338487625,-0.002275824546813965,3.1808786392211914
37.71,13.04757325944273,49152,3,0,136,0.0,22.66195917,360,0.21745955432404548,0.2,1.0136076211929321,0.009455889,20,0.130401611328125,-2.857206317782402,-0.011021689053450245,0.0005,11.140278486907482,0.5620449781417847,4.977028846740723
41.02,14.583371448987181,65536,4,0,185,0.0,28.138164050000004,352,0.24305619081645302,0.2,1.0176783800125122,0.0109624695,30,0.185052490234375,-2.8709133960306645,-0.014692723708139965,0.0005,10.775871059298515,0.7237483263015747,4.225013256072998
46.55,15.765653093677258,81920,5,0,246,0.0,35.43592123,332,0.2627608848946209,0.2,1.010492205619812,0.012221912,40,0.175372314453125,-2.8668731369078158,-0.016179509687935932,0.0005,12.628856486082077,0.7615424990653992,6.023138046264648
51.24,18.195195026951993,98304,6,0,296,0.0,42.45067864,331,0.30325325044919993,0.2,0.9957121014595032,0.014878272,50,0.206317138671875,-2.8426355950534345,-0.016718929008493432,0.0005,11.848719842731953,0.8061587810516357,5.55177640914917
50.36,21.2264825790259,114688,7,0,336,0.0,50.90360731,341,0.3537747096504317,0.2,0.9760407209396362,0.01070075,60,0.166485595703125,-2.8048346363008023,-0.01508670353796333,0.0005,16.553404849767684,0.792065441608429,8.784379959106445
51.53,22.501378417571036,131072,8,0,375,0.0,53.36226287,349,0.37502297362618386,0.2,0.9606804847717285,0.009847548,70,0.1281005859375,-2.7716500610113144,-0.01146455828056787,0.0005,14.918326193094254,0.8286838531494141,6.804058074951172
63.22,22.757085647510173,147456,9,0,411,0.0,65.34684286,358,0.37928476079183626,0.2,0.9528766870498657,0.010747049,80,0.15284423828125,-2.746531597524881,-0.008388588160960353,0.0005,14.619112518429755,0.8649072647094727,7.982721328735352
73.21,22.482017807847992,163840,10,0,445,0.0,75.79048872,367,0.3747002967974665,0.2,0.9479817748069763,0.010168073,90,0.14337158203125,-2.7333094373345377,-0.010821283773111645,0.0005,19.587633246183394,0.8521115183830261,9.354345321655273
101.13,20.64947211391625,180224,11,0,481,0.0,92.54896791000002,374,0.3441578685652708,0.2,0.9312609434127808,0.008952803,100,0.139752197265625,-2.704538058489561,-0.011717651593062327,0.0005,21.103970205783845,0.8531093001365662,9.653818130493164
140.19,18.170653748875246,196608,12,0,513,0.0,123.96185269000001,382,0.30284422914792075,0.2,0.9241843223571777,0.009273397,110,0.145159912109375,-2.6835597828030586,-0.010747723135136767,0.0005,23.055085974931718,0.8636487722396851,12.321264266967773
186.81,16.475931045285698,212992,13,0,539,0.0,151.36518187000001,394,0.27459885075476165,0.2,0.9082046747207642,0.011389148,120,0.139215087890625,-2.655232864618301,-0.01238508346650633,0.0005,21.654859057068826,0.8515212535858154,10.673233032226562
